title,author,length
Meant for Her,Natasha Madison,Length: 8 hrs and 25 mins
title,author,length
"Love, Utley",S.J. Tilly,Length: 8 hrs and 40 mins
Iron Flame (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 11 hrs
"Succubus Summoner, Part 3","Virgil Knightley,Annabelle Hawthorne",Length: 8 hrs and 19 mins
He Who Fights with Monsters 11: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 28 hrs and 36 mins
Dungeon Diving 201,Bruce Sentar,Length: 11 hrs and 41 mins
Mr. Picture Perfect,Daryl Banner,Length: 13 hrs and 30 mins
Throne World,B.V. Larson,Length: 12 hrs and 29 mins
Frigid Magic,Bruce Sentar,Length: 16 hrs and 30 mins
Beware of Chicken 4: A Xianxia Cultivation Novel,Casualfarmer,Length: 30 hrs and 8 mins
A Queen This Fierce and Deadly,Stacia Stark,Length: 17 hrs and 19 mins
Her Dying Secret,Lisa Regan,Length: 10 hrs and 40 mins
New Nigeria County,Clare Brown,Length: 3 hrs and 33 mins
To Be Loved,Frank G. Anderson MD,Length: 8 hrs
Will Leave the Galaxy for Good,Yahtzee Croshaw,Length: 9 hrs and 50 mins
World Seal,David North,Length: 14 hrs and 31 mins
Onyx Storm,Rebecca Yarros,Length: 14 hrs and 15 mins
Recon,Craig Alanson,Length: 17 hrs and 53 mins
No Secrets,Nora Phoenix,Length: 8 hrs and 2 mins
Meant for Her,Natasha Madison,Length: 8 hrs and 25 mins
